returnAddress	amount	tokenSymbol	tokenAddr	oldWallet	newWallet
'	'5000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x248743463983b3b0c667717bb8c30e5ac79199bb	'0x58675fde5602338928f69a0937f0ad22071b37d5
'	'5390000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x4013f4f6ec28f84ea9071336466bf8916f179852	'0x58eb0c8c2adb977162a83ad94adb12cc186bd203
'	'330000000000000000000	'CAT	'0x56ba2ee7890461f463f7be02aac3099f6d5811a8	'0x4013f4f6ec28f84ea9071336466bf8916f179852	'0x58eb0c8c2adb977162a83ad94adb12cc186bd203
'	'2000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x43c0d31adb89df0e6b02bf2bd9acb0696fe41e46	'0x5928dd503b82c024e96b41b353aa0704d54ef842
'	'488528036333721686	'ETH	'0x0000000000000000000000000000000000000000	'0xf6a4384aa41f74714a71e01b3f3faf75a6e879bc	'0x5e012e0b8d1616b493021504b2bcdb5d675b8231
'	'20000000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xb6a86c3ccb3f062e3208071cda361f7f47a6ed8e	'0x5efbd8fd7f0a957d6e54e39c85d3abad518905f3
'0x23c2c34f38ce66ccc10e71e9bb2a06532d52c5e9	'33503592326936608482886	'ETH	'0x0000000000000000000000000000000000000000	'0x20b014a0b669906781250cdcf9966d5c4ce1527a	'0x60ecfc61e27152daffc7931448ac9dde0dcaa37a
'	'1000000000000000000	'SWT	'0xb9e7f8568e08d5659f5d29c4997173d84cdf2607	'0xb68dd3322631244b553fea98040399a4258cf04d	'0x616a951af8b268e65c06bd642d566e3aa179c355
'	'2000000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xb68dd3322631244b553fea98040399a4258cf04d	'0x616a951af8b268e65c06bd642d566e3aa179c355
'0x91d22a58414ad0e6d4f385cc6e88bd34e51d7d5a	'13000000000000000000000000	'ICN	'0x888666ca69e0f178ded6d75b5726cee99a87d698	'0x539077c6e8a7dbf9fd13c16925a9504e3c6e24b8	'0x62b6e0779bc8ea5109714445af0014ca71bab885
'	'214986730000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xdf86984226814e2970ea94fedd9676276fedfacb	'0x63f03b198a7c85dc3b8cbf04ba41a424dac39216
'	'64624000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xf6e5e2344a12e036d3a4fed39c931e3351cb8cee	'0x64003913b20fbeda8a8c5088fd9d79bc991da6b1
'	'9000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xe20ec1721fd0a897592d7630786a4a4c848e96a6	'0x64d326edcb48a039bcdd33f068243951e016560d
'	'9000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x764a1c7bfd2a8dba90f41226c54e9bf88c706258	'0x6676f1404f5a065657741d5112693b48d5f436e3
